cluster,material,percent
1,Acrylonitrile_butadiene_styrene_(ABS),1.998201619
1,Bamboo,1.998201619
1,Brick,1.998201619
1,Butyl_rubber_(IIR),1.998201619
1,Carbon_black_reinforced_styrene_butadiene_rubber_(SBR),1.548606254
1,Cellulose_polymers_(CA),1.998201619
1,Cement,0.749325607
1,Ceramic_Foam,1.998201619
1,Cork,1.998201619
1,Dough_(Bulk)_molding_compound_DMC_(BMC)_polyester_matrix,1.998201619
1,Epoxies,1.98821061
1,Ethylene_vinyl_acetate_(EVA),1.998201619
1,Flexible_Polymer_Foam_(LD),1.998201619
1,Flexible_Polymer_Foam_(MD),1.998201619
1,Flexible_Polymer_Foam_(VLD),1.998201619
1,GFRP_epoxy_matrix_(isotropic),1.998201619
1,Hardwood:_oak_across_grain,1.998201619
1,Hardwood:_oak_along_grain,1.998201619
1,Ionomer_(I),1.998201619
1,Leather,1.998201619
1,Metal_Foam,0.559496453
1,Natural_Rubber,1.998201619
1,Paper_and_Cardboard,1.998201619
1,Phenolics,1.998201619
1,Plaster_of_Paris,1.998201619
1,Plywood,1.998201619
1,Polyamides_(Nylons_PA),1.998201619
1,Polycarbonate_(PC),1.998201619
1,Polychloroprene_(Neoprene_CR),1.998201619
1,Polyester,1.998201619
1,Polyetheretherketone_(PEEK),1.998201619
1,Polyethylene_(PE),1.998201619
1,Polyethylene_terephthalate_(PET),1.998201619
1,Polyhydroxyalkanoates_(PHA_PHB),1.998201619
1,Polyisoprene_rubber_(IIR),1.998201619
1,Polylactide_(PLA),1.998201619
1,Polymethyl_methacrylate_(Acrylic_PMMA),1.998201619
1,Polyoxymethylene_(Acetal_POM),1.998201619
1,Polypropylene_(PP),1.998201619
1,Polystyrene_(PS),1.998201619
1,Polytetrafluoroethylene_(Teflon_PTFE),1.998201619
1,Polyurethane,1.998201619
1,Polyurethane_(tpPUR),1.998201619
1,Polyvinylchloride_(tpPVC),1.998201619
1,Rigid_Polymer_Foam_(HD),1.998201619
1,Rigid_Polymer_Foam_(LD),1.998201619
1,Rigid_Polymer_Foam_(MD),1.998201619
1,Sheet_molding_compound_SMC_polyester_matrix,1.998201619
1,Silicone_elastomers_(SI_Q),1.238885004
1,Softwood:_pine_across_grain,1.998201619
1,Softwood:_pine_along_grain,1.998201619
1,Starch-based_thermoplastics_(TPS),1.998201619
2,Aluminum/Silicon_carbide_composite,4.174067496
2,Boron_Carbide,4.973357016
2,Bronze,6.927175844
2,Cast_Al-alloys,6.127886323
2,Cast_iron_gray,6.48312611
2,Cast_magnesium_alloys,4.262877442
2,High_Carbon_Steel,4.884547069
2,Low_Alloy_Steel,4.884547069
2,Low_Carbon_Steel,8.081705151
2,Medium_Carbon_Steel,6.838365897
2,Silicon,17.76198934
2,Silicon_carbide,7.992895204
2,Tungsten_Alloys,4.085257549
2,Tungsten_Carbides,4.351687389
2,Wrought_magnesium_alloys,3.996447602
2,Zinc_die-casting_alloys,4.174067496
3,Copper,23.63013699
3,Gold,68.49315068
3,Non_age-hardening_wrought_Al-alloys,7.876712329
4,Comercially_Pure_Lead,15.67398119
4,Commercially_Pure_Titanium,15.67398119
4,Lead_Alloys,11.05015674
